precision,recall
0.02980895435321569,1.0
0.23494252873563218,1.0
0.23499655093124858,1.0
0.23505059797608097,1.0
0.23510466988727857,1.0
0.23515876668200644,1.0
0.23521288837744533,1.0
0.2352670349907919,1.0
0.2353212065392586,1.0
0.2353754030400737,1.0
0.23542962451048147,1.0
0.23548387096774193,1.0
0.23553814242913113,1.0
0.23559243891194098,1.0
0.23564676043347937,1.0
0.2357011070110701,1.0
0.23575547866205307,1.0
0.23580987540378404,1.0
0.2358642972536349,1.0
0.23591874422899353,1.0
0.2359732163472639,1.0
0.23602771362586605,1.0
0.23630057803468207,1.0
0.23646459972235076,1.0
0.2365193242305022,1.0
0.23657407407407408,1.0
0.2366288492706645,1.0
0.23706796566921828,1.0
0.23712296983758702,1.0
0.2371779995358552,1.0
0.2372330547818013,1.0
0.23728813559322035,1.0
0.23761915833527086,1.0
0.23767441860465116,1.0
0.23772970458246104,1.0
0.23778501628664495,1.0
0.23784035373516407,1.0
0.2378957169459963,1.0
0.2379511059371362,1.0
0.23800652072659526,1.0
0.2380619613324016,1.0
0.2381174277726002,1.0
0.23817292006525284,1.0
0.23822843822843823,1.0
0.2382839822802518,1.0
0.23833955223880596,1.0
0.23839514812223,1.0
0.2385064177362894,1.0
0.238562091503268,1.0
0.23867351704810835,1.0
0.23872926886241533,1.0
0.23878504672897197,1.0
0.2392882228986186,1.0
0.23934426229508196,1.0
0.23940032794565472,1.0
0.23945641986879102,1.0
0.23951253808296227,1.0
0.2396248534583822,1.0
0.2396810506566604,1.0
0.2397935241670577,1.0
0.23984980051631072,1.0
0.23990610328638498,1.0
0.23996243249589105,1.0
0.240018788163457,1.0
0.24007517030772846,1.0
0.24013157894736842,1.0
0.24018801410105758,1.0
0.2402444757874941,1.0
0.24030096402539383,1.0
0.24035747883349012,1.0
0.240414020230534,1.0
0.24047058823529413,1.0
0.24052718286655683,1.0
0.24075382803297998,1.0
0.2408105560791706,1.0
0.24086731086495405,1.0
0.24092409240924093,1.0
0.24098090073095968,1.0
0.2410377358490566,1.0
0.24109459778249587,1.0
0.24120840217134765,1.0
0.2412653446647781,1.0
0.2413223140495868,1.0
0.2413793103448276,1.0
0.24143633356957242,1.0
